name,sba,spa,sfa,sbd,spd,sfd,nba,npa,nfa,nbd,npd,nfd,tfc,tfd,sdf,mdf,ldf
cut_through,75455414,1024611,0,0,0,0,78670836,796100,0,0,0,0,0,0,0,0,0
bittorrent,1532090,10260,1131,0,0,0,7738733,10514,990,0,0,0,2121,38768,1648,458,15
dns,140408244,1895719,1734635,0,0,0,171652009,1121769,1017455,0,0,0,2751888,716213,2748794,2731,363
emule,16577864,102770,414,0,0,0,24180309,93160,414,0,0,0,808,42168,638,78,92
ftp_data,80371,1112,104,0,0,0,1146761,1139,104,0,0,0,208,1855,205,3,0
gnutella,0,0,0,0,0,0,578,10,1,0,0,0,1,17,1,0,0
google_talk_im,30452,263,10,0,0,0,54280,285,10,0,0,0,18,2139,4,10,4
http,2554035587,23039081,470075,0,0,0,46019178779,36524029,470202,0,0,0,927977,40165635,649580,209227,69170
http_audio,4474453,59906,48,0,0,0,124043602,87448,48,0,0,0,94,4714,60,26,8
http_video,163998556,2625639,2075,0,0,0,6509091718,4626598,2075,0,0,0,4132,163679,3081,800,251
rdp,829757,10761,8,0,0,0,10695392,12075,8,0,0,0,16,4487,8,2,6
rtmp,70309,955,1,0,0,0,1869700,1375,1,0,0,0,2,54,2,0,0
sip,184713,294,21,0,0,0,128453,258,19,0,0,0,32,2345,12,16,4
smtp,2139569,13836,1218,0,0,0,1869038,19984,1218,0,0,0,2436,38024,2164,272,0
ssh,16080,192,17,0,0,0,13534,169,17,0,0,0,32,816,22,10,0
stun,57793213,452504,204258,0,0,0,102656952,367621,160313,0,0,0,364469,421480,360991,3043,435
tls,51107358036,289366108,5647892,0,0,0,505421858026,440253891,5687992,0,0,0,11086779,781411878,6123312,3337404,1626063
unknown_tcp,1031174474,9461160,255315,0,0,0,14605505541,13180475,255372,0,0,0,483494,39188444,341347,78985,63162
xmpp,1236199,9440,203,0,0,0,5570346,10899,203,0,0,0,368,68739,156,103,109
ftp_control,117771,2215,183,0,0,0,150823,2220,183,0,0,0,366,5016,338,28,0
imap4,35110,501,24,0,0,0,172872,564,24,0,0,0,48,1388,34,12,2
pop3,505495,10932,17,0,0,0,29027399,21866,17,0,0,0,34,429,30,4,0
shoutcast,582947,8112,5,0,0,0,9585230,11630,5,0,0,0,10,2241,4,4,2
dht,37622228,276375,263858,0,0,0,61278574,200301,190714,0,0,0,454572,84967,454438,115,19
google_talk_voicemail,60926741,241984,195,0,0,0,206329011,507630,195,0,0,0,384,32594,154,204,26
rtp,1033922917,2999037,756,0,0,0,2420605522,6316171,695,0,0,0,1373,143111,784,369,220
unknown_udp,3593725389,13865973,270063,0,0,0,13616902757,29356423,214045,0,0,0,482994,2198002,473795,6595,2604
existing,193293469,806569,316063,0,0,0,240119595,845482,354828,0,0,0,670769,1775269,659873,10251,645
non_tcp_udp,1175669361,3358513,681557,0,0,0,17902370,129686,34729,0,0,0,716250,1601458,712617,3413,220
telnet,5666,63,6,0,0,0,19793,55,6,0,0,0,12,255,11,1,0
skype,271538,1234,34,0,0,0,1957618,2558,34,0,0,0,66,1491,61,3,2
ntp,12773760,153605,148511,0,0,0,9324900,112825,109279,0,0,0,257784,12164,257713,61,10
netbios,261310,4257,633,0,0,0,171994,3159,605,0,0,0,1236,10094,1147,87,2
smb_netbios,1772,8,4,0,0,0,1772,8,4,0,0,0,8,9,8,0,0
mssql_tcp,458998,2976,6,0,0,0,3393011,3524,6,0,0,0,8,3369,0,0,8
rtp_sip,477724,7814,10,0,0,0,386800,6267,5,0,0,0,15,443,5,10,0
ldap,39168,165,133,0,0,0,1001,4,4,0,0,0,137,92,137,0,0
